Rank,Title,Model,Domain,Preservation Rate,Total Cues,Preserved
1,"Adult education should be for life, not just a job",TextRank,education,0.00%,55,0
2,Oxford Union condemns president-elect’s reported comments on Charlie Kirk shooti,TextRank,education,0.00%,31,0
3,Oxford Union condemns president-elect’s reported comments on Charlie Kirk shooti,TextRank,education,0.00%,31,0
4,Oxford Union condemns president-elect’s reported comments on Charlie Kirk shooti,TextRank,education,0.00%,31,0
5,The NHL preached inclusion. So why has it got into bed with Donald Trump?,TextRank,sports,0.00%,109,0
6,The NHL preached inclusion. So why has it got into bed with Donald Trump?,TextRank,sports,0.00%,109,0
7,The NHL preached inclusion. So why has it got into bed with Donald Trump?,TextRank,sports,0.00%,109,0
8,UFC landed a $7.7bn deal with Paramount. But is Dana White’s Trump bond a liabil,TextRank,sports,0.00%,105,0
9,UFC landed a $7.7bn deal with Paramount. But is Dana White’s Trump bond a liabil,TextRank,sports,0.00%,105,0
10,UFC landed a $7.7bn deal with Paramount. But is Dana White’s Trump bond a liabil,TextRank,sports,0.00%,105,0
