Model,Domain,Summaries,Total Cues,Preserved Cues,Avg Preservation Rate,Overall Preservation Rate
BART-large-cnn,culture,24,3119,608,24.02%,19.49%
BART-large-cnn,education,22,1210,335,28.54%,27.69%
BART-large-cnn,politics,25,2536,599,25.98%,23.62%
BART-large-cnn,social,25,3748,664,21.70%,17.72%
BART-large-cnn,sports,20,2180,398,18.68%,18.26%
BART-large-cnn,tech,23,2227,480,23.75%,21.55%
Gemma-2-9B-IT,culture,72,9357,1825,25.68%,19.50%
Gemma-2-9B-IT,education,66,3630,1168,33.61%,32.18%
Gemma-2-9B-IT,politics,75,7608,1787,27.10%,23.49%
Gemma-2-9B-IT,social,75,11244,2077,22.67%,18.47%
Gemma-2-9B-IT,sports,60,6540,1317,21.08%,20.14%
Gemma-2-9B-IT,tech,69,6681,1619,26.26%,24.23%
Mistral-7B-Instruct,culture,72,9357,1498,22.16%,16.01%
Mistral-7B-Instruct,education,66,3630,887,25.33%,24.44%
Mistral-7B-Instruct,politics,75,7608,1472,22.35%,19.35%
Mistral-7B-Instruct,social,75,11244,1770,19.23%,15.74%
Mistral-7B-Instruct,sports,60,6540,1086,17.18%,16.61%
Mistral-7B-Instruct,tech,69,6681,1193,19.59%,17.86%
PEGASUS-cnn_dailymail,culture,24,3119,581,23.90%,18.63%
PEGASUS-cnn_dailymail,education,22,1210,349,30.96%,28.84%
PEGASUS-cnn_dailymail,politics,25,2536,610,25.97%,24.05%
PEGASUS-cnn_dailymail,social,25,3748,637,19.63%,17.00%
PEGASUS-cnn_dailymail,sports,20,2180,454,20.92%,20.83%
PEGASUS-cnn_dailymail,tech,23,2227,469,23.81%,21.06%
TextRank,culture,72,9357,710,16.13%,7.59%
TextRank,education,66,3630,668,18.07%,18.40%
TextRank,politics,75,7608,1833,27.62%,24.09%
TextRank,social,75,11244,2160,22.08%,19.21%
TextRank,sports,60,6540,1290,20.66%,19.72%
TextRank,tech,69,6681,1562,25.52%,23.38%
mT5-XLSum,culture,24,3119,157,7.83%,5.03%
mT5-XLSum,education,22,1210,109,9.28%,9.01%
mT5-XLSum,politics,25,2536,234,11.27%,9.23%
mT5-XLSum,social,25,3748,227,7.67%,6.06%
mT5-XLSum,sports,20,2180,108,5.12%,4.95%
mT5-XLSum,tech,23,2227,142,7.19%,6.38%
